"id","client_id","phone","created_at","updated_at"
1,781336,"8 (914) 583 74 08",2021-09-26 18:56:49.000,"19:36:17 26/09/2021"
2,406266,"8(971) 4649247",2021-10-30 10:18:24.000,"11:38:10 30/10/2021"
3,221327,"8933 46762 29",2021-08-27 02:04:46.000,"03:04:39 27/08/2021"
4,951868,"8 (985) 7493874",2021-09-22 04:04:56.000,"05:22:46 22/09/2021"
5,847689,"8(928) 1595416",2021-11-29 17:15:07.000,"18:28:21 29/11/2021"
6,910843,"8(961) 4465878",2021-03-27 23:00:08.000,"23:55:21 27/03/2021"
7,160034,"8 996697 5658",2021-11-18 09:38:30.000,"10:25:40 18/11/2021"
8,521395,"8902180 70 54",2021-07-29 08:20:53.000,"08:25:43 29/07/2021"
9,104924,"8 (928) 790 1900",2021-08-31 09:39:24.000,"09:48:58 31/08/2021"
10,234033,"8(992)6287266",2021-05-23 14:48:49.000,"15:56:45 23/05/2021"
11,402675,"8(978) 53376 72",2021-04-13 20:02:27.000,"20:40:15 13/04/2021"
12,612783,"8976 979 1239",2021-07-15 17:07:56.000,"17:11:13 15/07/2021"
13,820634,"8937 7640212",2021-02-22 09:12:57.000,"10:12:45 22/02/2021"
14,214662,"8(911) 584 35 25",2021-12-16 15:55:52.000,"16:26:09 16/12/2021"
15,555170,"8 (952)891 0710",2021-09-26 03:10:41.000,"03:46:03 26/09/2021"
16,480905,"8(987) 772 38 02",2021-10-30 14:00:32.000,"14:34:55 30/10/2021"
17,348529,"891644922 38",2021-04-28 19:10:40.000,"19:18:40 28/04/2021"
18,610936,"8(913) 32205 98",2021-09-07 15:30:57.000,"15:32:52 07/09/2021"
19,578308,"8 981 0264957",2021-02-11 16:26:01.000,"16:39:13 11/02/2021"
20,488998,"8(956) 6756548",2021-12-08 19:40:28.000,"19:43:01 08/12/2021"
21,184628,"8 (947)689 1951",2021-12-03 23:22:41.000,"00:09:16 04/12/2021"
22,600038,"8(978)278 34 58",2021-03-09 05:24:21.000,"05:53:04 09/03/2021"
23,118555,"8(942)3703679",2021-08-31 01:20:49.000,"02:13:24 31/08/2021"
24,869909,"8(985)991 21 75",2021-12-09 01:29:39.000,"02:33:04 09/12/2021"
25,632903,"8 (946) 1379440",2021-08-05 04:49:21.000,"05:10:38 05/08/2021"
26,127251,"8918 029 9670",2021-09-09 00:10:22.000,"00:52:20 09/09/2021"
27,873201,"8 9062978872",2021-11-21 07:25:58.000,"08:07:31 21/11/2021"
28,507281,"8(909) 584 2167",2021-11-30 18:55:50.000,"19:45:19 30/11/2021"
29,354765,"8(930) 196 73 33",2021-03-30 13:30:07.000,"14:13:06 30/03/2021"
30,984345,"8 90046058 20",2021-01-13 23:04:51.000,"23:07:15 13/01/2021"
31,955581,"8 (954) 23069 60",2021-08-16 22:56:43.000,"23:45:58 16/08/2021"
32,215553,"8(914) 5954279",2021-05-05 13:38:56.000,"14:25:01 05/05/2021"
